year,state,tot_imprisoned,tot_black_imprisoned,tot_white_imprisoned
1990,TX,886.62,6546.68,548.77
1990,MO,613.79,11277.66,532.95
1990,SC,979.19,1962.65,474.80
1990,GA,948.45,2828.87,473.16
1990,TN,602.90,4587.75,462.88
1990,OK,559.80,3215.56,453.94
1990,KY,517.04,4618.81,452.39
1990,MI,538.58,15675.27,438.02
1990,OR,473.62,3209.47,436.22
1990,UT,478.60,27051.21,423.20
1990,NE,404.30,5632.80,422.63
1990,MD,771.44,2882.71,409.75
1990,CO,491.50,4181.14,393.82
1990,WA,478.41,3606.34,387.27
1990,AL,697.30,1853.25,378.19
1990,VA,639.78,2530.49,333.79
1990,NV,973.63,3224.70,292.16
1990,WI,315.19,12324.69,286.67
1990,IL,364.58,9456.64,285.62
1990,PA,369.04,4784.84,281.25
1990,NH,302.20,1522.72,279.64
1990,CA,808.32,1442.00,279.47
1990,AZ,284.77,1436.40,251.25
1990,FL,973.02,1639.34,244.45
1990,NJ,679.25,3699.91,240.93
1990,WV,288.90,16541.29,210.87
1990,LA,446.89,1064.73,209.86
1990,IA,219.58,6689.97,200.32
1990,MN,218.60,4894.75,187.06
1990,WY,197.54,1778.66,170.66
1990,IN,177.67,11385.30,167.18
1990,NM,317.11,1974.83,159.06
1990,ID,195.27,13222.17,143.01
1990,SD,395.18,4081.44,141.82
1990,AK,129.83,0.00,136.04
1990,KS,157.35,11776.87,123.66
1990,MA,161.36,962.81,110.55
1990,AR,155.90,416.08,109.04
1990,ND,161.64,1866.03,108.83
1990,NY,338.54,1474.55,103.65
1990,HI,60.92,162.88,103.64
1990,MS,612.15,489.93,96.43
1990,ME,99.05,318.98,93.89
1990,MT,129.83,1686.18,92.30
1990,OH,359.43,3090.46,88.36
1990,NC,660.36,458.86,78.18
1990,DC,390.12,596.59,47.16
1991,CA,810.23,3434.51,598.46
1991,TX,911.79,8691.23,555.68
1991,FL,1043.37,4665.13,548.19
1991,MO,618.95,8757.02,526.25
1991,NE,474.85,5311.06,505.88
1991,GA,976.03,2855.41,503.11
1991,LA,1152.65,2754.28,499.20
1991,SC,982.84,1994.62,471.70
1991,MI,570.79,7820.97,469.49
1991,OK,573.68,2865.07,462.63
1991,KY,557.17,5597.81,459.89
1991,UT,504.71,31228.09,454.65
1991,OR,491.30,3335.71,445.74
1991,MD,816.29,3115.98,409.13
1991,CO,503.81,4398.75,396.10
1991,WA,493.75,4153.53,391.34
1991,AL,737.73,2017.00,389.22
1991,VA,683.93,2701.85,351.27
1991,NC,674.32,25289.70,343.15
1991,SD,428.14,7333.41,339.40
1991,NH,332.56,2060.77,303.86
1991,IL,383.24,6280.49,293.56
1991,NV,1027.79,3220.53,287.24
1991,MS,663.31,1483.66,284.76
1991,PA,386.00,5076.72,280.40
1991,WI,329.25,7059.02,278.76
1991,NJ,716.79,3866.61,249.12
1991,AZ,285.61,1424.60,232.35
1991,WV,313.25,16670.27,229.79
1991,IA,238.31,8471.32,218.20
1991,TN,604.21,1127.32,211.51
1991,IN,197.96,12194.19,182.62
1991,NM,336.49,1585.23,161.13
1991,ID,200.03,14507.47,161.03
1991,WY,197.91,2361.12,157.60
1991,AK,137.83,257.09,133.03
1991,KS,170.00,11069.10,131.07
1991,MA,179.28,1543.05,120.26
1991,AR,165.85,475.77,112.47
1991,NY,363.85,1240.58,105.74
1991,ND,170.26,1651.10,99.51
1991,MN,224.77,5535.68,96.82
1991,HI,60.29,141.06,94.19
1991,MT,138.92,2142.02,93.71
1991,OH,394.00,2807.98,92.80
1991,ME,101.30,358.43,90.88
1991,DC,557.23,850.70,79.03
1992,CA,822.52,3624.97,618.26
1992,TX,991.44,10895.02,594.39
1992,NE,522.49,5643.11,553.36
1992,MO,625.61,9641.52,523.99
1992,LA,1215.16,3030.11,513.54
1992,GA,1030.37,3160.49,508.44
1992,MI,626.78,8411.83,497.36
1992,KY,584.89,6694.40,466.66
1992,SC,998.96,2059.58,459.20
1992,OK,565.52,2908.86,450.25
1992,UT,490.09,36314.13,444.60
1992,OR,478.21,3686.95,434.25
1992,MD,881.76,3486.30,416.66
1992,WA,509.92,4093.80,399.05
1992,CO,519.68,5421.45,395.84
1992,AL,768.67,2172.28,388.59
1992,SD,463.83,8409.92,376.87
1992,VA,736.58,2849.83,374.01
1992,NH,355.60,1769.18,335.71
1992,IL,391.80,7664.92,294.24
1992,PA,405.69,5269.99,294.19
1992,WI,354.89,10371.28,289.65
1992,MS,687.57,1536.11,273.15
1992,NV,1105.26,2497.42,255.66
1992,WV,346.78,18678.03,248.02
1992,FL,1104.62,1622.59,247.95
1992,NJ,706.43,3848.07,239.88
1992,NY,391.27,3387.79,237.77
1992,IA,248.39,11134.83,229.86
1992,TN,612.20,1889.95,213.05
1992,AZ,290.91,1423.21,208.08
1992,IN,213.77,11778.47,197.95
1992,ID,216.64,16619.38,176.16
1992,NM,373.18,1694.04,159.17
1992,WY,190.33,2153.64,153.14
1992,KS,179.06,11990.02,133.99
1992,AK,150.38,0.00,130.73
1992,MA,195.12,1339.56,128.81
1992,AR,176.09,526.44,118.61
1992,ND,178.57,1822.86,102.91
1992,OH,437.00,2996.04,95.73
1992,MN,227.68,6003.41,93.87
1992,ME,101.53,376.14,93.80
1992,MT,146.99,2648.53,93.12
1992,HI,76.29,177.53,86.02
1992,NC,684.86,562.90,83.46
1992,DC,403.15,599.55,49.35
1993,CA,859.64,3880.95,647.82
1993,TX,1049.43,10346.09,628.04
1993,GA,1096.98,3405.73,536.08
1993,LA,1299.08,3256.80,533.03
1993,MI,653.45,9618.34,521.90
1993,MO,618.01,10124.74,505.62
1993,KY,598.30,7364.95,486.80
1993,TN,610.84,2352.96,469.08
1993,NE,501.61,4755.68,468.09
1993,SC,1022.68,2157.40,443.87
1993,UT,490.23,42628.28,436.29
1993,MD,922.01,3571.35,424.21
1993,OR,462.24,3342.21,419.94
1993,WA,509.67,3714.43,405.12
1993,SD,467.90,8767.68,402.69
1993,CO,526.85,4259.26,400.32
1993,AL,802.66,2272.98,393.83
