,year,total_jail_pop_rate,black_jail_pop_rate,white_jail_pop_rate,total_prison_pop_rate,black_prison_pop_rate,white_prison_pop_rate
,,mean,mean,mean,mean,mean,mean
0,1990,220.24485908319195,4040.877704728948,144.64889197638053,355.8085760517796,2028.6475985663085,249.41969508400743
1,1991,233.67521724372023,4013.2014318354964,151.42238888888895,376.2050667189957,3358.304314971748,260.391792249731
2,1992,247.36447386286528,4639.860019047622,154.9599861111109,394.67448356807404,1885.1601574803171,260.91416761687515
3,1993,258.3635532994915,5046.9161466165315,161.58017465753437,409.4838482490277,1833.176756152125,258.2523418063824
4,1994,272.3760040705565,5617.884128474829,171.81471355060015,442.08312136486995,2068.3187622641535,285.41641094420623
5,1995,289.75636702849397,6440.400574324322,181.97044596912525,469.2305346764815,2621.375928623453,309.286386375732
6,1996,305.5143080054271,6296.821834896807,191.72883361921131,490.5042011605421,2370.3613472803377,306.809122486289
7,1997,327.00905020352843,7038.503474990589,206.3934785591769,509.67107018223953,2334.7330333033283,306.88361239288025
8,1998,348.5474762550878,7328.54908067542,219.73265180102962,532.8527102803737,2474.650814159292,320.9275624577992
9,1999,373.6574940978077,7427.794323420073,237.58292922451753,556.1201481481482,2713.0994336569597,350.972442307692
10,2000,391.9843669600547,4625.692644114606,254.90447162759096,576.7668212714902,2931.793729257643,415.51327208480575
11,2001,415.78927894380405,4984.0412905452185,272.2005436629293,598.2608463073855,2811.4597370653105,421.59662116040965
12,2002,438.1476844955983,5256.299913793097,292.71662249405324,613.0635307692298,2983.748747007182,440.3542674344204
13,2003,460.85665199729317,5276.760609084648,310.9986476384643,628.3731736297441,2957.788711180122,456.0128849780014
14,2004,487.5342044685154,5422.522294461639,329.70509344206573,642.7063650248183,2914.6319268849966,468.1710872235868
15,2005,508.47743563685736,4132.157406901261,358.17603260869555,655.9820440729483,3007.207741514359,490.9477657378737
16,2006,549.2712296747967,3982.9014695830533,372.5826392663051,676.9178103579611,3840.1740882917516,513.9307849133544
17,2007,540.0005076142138,4017.2263242320782,381.82446555819365,685.1192949695111,3698.7732514177737,524.6953263577483
18,2008,533.0801116751265,4124.765581712731,380.70747879199155,681.7172813688201,3465.5829846938836,521.4290020263417
19,2009,534.4864839255491,3969.710085295114,393.71965388530816,681.7972844663896,3353.225365853656,520.471186528498
20,2010,536.9455939086303,3431.3593458262317,402.70789955887284,685.0492156119748,3237.458201811126,528.7602600103995
21,2011,545.008910321489,3118.8223139653473,407.4785680352916,681.8047748770332,2752.7923980523383,532.8230097560984
22,2012,555.7445346869703,2883.5061697792844,418.69432982694303,693.2088753335876,2660.6469573283875,551.851625494071
23,2013,584.8069706180341,2782.936870771313,435.11751519243717,692.7787206661621,2597.8843514879263,555.7815412511334
24,2014,590.9519858156028,2711.740844309353,453.1077717758267,684.1662579365075,2514.3159526698996,568.9087290969893
25,2015,590.2073792637618,2605.703771544441,465.548271438218,699.3271784946248,2537.3934426229553,589.943869426752
26,2016,594.1232117527854,2527.0049695945895,475.5976164753554,700.2292928852044,2485.636035502957,601.674753747322
