,year,total_jail_pop_rate,black_jail_pop_rate,white_jail_pop_rate,total_prison_pop_rate,black_prison_pop_rate,white_prison_pop_rate
,,mean,mean,mean,mean,mean,mean
0,1990,220.2448591,4040.877705,144.648892,355.8085761,2028.647599,249.4196951
1,1991,233.6752172,4013.201432,151.4223889,376.2050667,3358.304315,260.3917922
2,1992,247.3644739,4639.860019,154.9599861,394.6744836,1885.160157,260.9141676
3,1993,258.3635533,5046.916147,161.5801747,409.4838482,1833.176756,258.2523418
4,1994,272.3760041,5617.884128,171.8147136,442.0831214,2068.318762,285.4164109
5,1995,289.756367,6440.400574,181.970446,469.2305347,2621.375929,309.2863864
6,1996,305.514308,6296.821835,191.7288336,490.5042012,2370.361347,306.8091225
7,1997,327.0090502,7038.503475,206.3934786,509.6710702,2334.733033,306.8836124
8,1998,348.5474763,7328.549081,219.7326518,532.8527103,2474.650814,320.9275625
9,1999,373.6574941,7427.794323,237.5829292,556.1201481,2713.099434,350.9724423
10,2000,391.984367,4625.692644,254.9044716,576.7668213,2931.793729,415.5132721
11,2001,415.7892789,4984.041291,272.2005437,598.2608463,2811.459737,421.5966212
12,2002,438.1476845,5256.299914,292.7166225,613.0635308,2983.748747,440.3542674
13,2003,460.856652,5276.760609,310.9986476,628.3731736,2957.788711,456.012885
14,2004,487.5342045,5422.522294,329.7050934,642.706365,2914.631927,468.1710872
15,2005,508.4774356,4132.157407,358.1760326,655.9820441,3007.207742,490.9477657
16,2006,549.2712297,3982.90147,372.5826393,676.9178104,3840.174088,513.9307849
17,2007,540.0005076,4017.226324,381.8244656,685.119295,3698.773251,524.6953264
18,2008,533.0801117,4124.765582,380.7074788,681.7172814,3465.582985,521.429002
19,2009,534.4864839,3969.710085,393.7196539,681.7972845,3353.225366,520.4711865
20,2010,536.9455939,3431.359346,402.7078996,685.0492156,3237.458202,528.76026
21,2011,545.0089103,3118.822314,407.478568,681.8047749,2752.792398,532.8230098
22,2012,555.7445347,2883.50617,418.6943298,693.2088753,2660.646957,551.8516255
23,2013,584.8069706,2782.936871,435.1175152,692.7787207,2597.884351,555.7815413
24,2014,590.9519858,2711.740844,453.1077718,684.1662579,2514.315953,568.9087291
25,2015,590.2073793,2605.703772,465.5482714,699.3271785,2537.393443,589.9438694
26,2016,594.1232118,2527.00497,475.5976165,700.2292929,2485.636036,601.6747537
